date,geography,geography code,Highest level of qualification: Total: All usual residents aged 16 years and over,Highest level of qualification: No qualifications,Highest level of qualification: Level 1 and entry level qualifications,Highest level of qualification: Level 2 qualifications,Highest level of qualification: Apprenticeship,Highest level of qualification: Level 3 qualifications,Highest level of qualification: Level 4 qualifications and above,Highest level of qualification: Other qualifications,Proportion of Level 4 and above ,Proportion of Level 3,Proportion of Level 2,Proportion of Level 1 and entry,Proportion of None
2021,Rutland,E06000017,34300,4491,2953,5278,1936,5835,13012,795,37.94%,17.01%,15.39%,8.61%,13.09%
2021,Nottingham,E06000018,264322,51554,23096,29844,10835,66236,75673,7084,28.63%,25.06%,11.29%,8.74%,19.50%
2021,"Herefordshire, County of",E06000019,157133,28315,14982,22184,9258,26573,51420,4401,32.72%,16.91%,14.12%,9.53%,18.02%
2021,Telford and Wrekin,E06000020,148673,29666,16732,23218,8212,27765,38803,4277,26.10%,18.68%,15.62%,11.25%,19.95%
2021,Stoke-on-Trent,E06000021,205898,53354,22574,30443,14144,34678,44948,5757,21.83%,16.84%,14.79%,10.96%,25.91%
2021,Bath and North East Somerset,E06000022,161618,19805,11972,19147,7608,35318,64251,3517,39.75%,21.85%,11.85%,7.41%,12.25%
2021,"Bristol, City of",E06000023,389708,56657,29350,41789,15282,73981,164106,8543,42.11%,18.98%,10.72%,7.53%,14.54%
2021,North Somerset,E06000024,178567,26615,17219,26482,10668,32377,60489,4717,33.87%,18.13%,14.83%,9.64%,14.90%
2021,South Gloucestershire,E06000025,237364,33792,23996,33959,15142,46440,78233,5802,32.96%,19.56%,14.31%,10.11%,14.24%
2021,Plymouth,E06000026,218624,37894,21388,30727,15836,47362,60155,5262,27.52%,21.66%,14.05%,9.78%,17.33%
2021,Torbay,E06000027,117032,23137,13696,18096,8688,20227,29628,3560,25.32%,17.28%,15.46%,11.70%,19.77%
2021,Swindon,E06000030,187151,32430,24335,30268,10948,30591,52220,6359,27.90%,16.35%,16.17%,13.00%,17.33%
2021,Peterborough,E06000031,167573,37471,20666,24191,9286,25727,43956,6276,26.23%,15.35%,14.44%,12.33%,22.36%
2021,Luton,E06000032,172698,39478,19650,21943,8349,24832,51546,6900,29.85%,14.38%,12.71%,11.38%,22.86%
