date,geography,geography code,UK armed forces veteran indicator: Total: All usual residents,UK armed forces veteran indicator: Previously served in UK armed forces,UK armed forces veteran indicator: Previously served in UK reserve armed forces,UK armed forces veteran indicator: Previously served in both regular and reserve UK armed forces,UK armed forces veteran indicator: Has not previously served in any UK armed forces,Proportion
2021,Central Bedfordshire,E06000056,236759,6533,1697,368,228161,2.76%
2021,Northumberland,E06000057,268845,11253,3524,801,253267,4.19%
2021,"Bournemouth, Christchurch and Poole",E06000058,334909,12743,2443,708,319015,3.80%
2021,Dorset,E06000059,321902,18609,3185,1090,299018,5.78%
2021,Buckinghamshire,E06000060,443395,11269,3213,646,428267,2.54%
2021,North Northamptonshire,E06000061,289186,9888,2016,468,276814,3.42%
2021,West Northamptonshire,E06000062,343502,9810,2307,541,330844,2.86%
2021,Bolton,E08000001,232289,5564,1520,261,224944,2.40%
2021,Bury,E08000002,154873,3756,1113,211,149793,2.43%
2021,Manchester,E08000003,437958,5114,2303,311,430230,1.17%
2021,Oldham,E08000004,187037,4504,1210,227,181096,2.41%
2021,Rochdale,E08000005,174948,4409,1079,249,169211,2.52%
2021,Salford,E08000006,216922,4390,1400,238,210894,2.02%
2021,Stockport,E08000007,238928,5898,1758,351,230921,2.47%
2021,Tameside,E08000008,185134,5090,1330,276,178438,2.75%
2021,Trafford,E08000009,186149,3796,1350,195,180808,2.04%
2021,Wigan,E08000010,268694,7817,1913,404,258560,2.91%
2021,Knowsley,E08000011,124300,3360,1559,214,119167,2.70%
2021,Liverpool,E08000012,403028,7799,4206,575,390448,1.94%
2021,St. Helens,E08000013,150571,4683,1381,238,144269,3.11%
2021,Sefton,E08000014,232389,7601,2810,468,221510,3.27%
2021,Wirral,E08000015,262111,9416,3280,605,248810,3.59%
2021,Barnsley,E08000016,199788,6689,1377,315,191407,3.35%
2021,Doncaster,E08000017,250927,10359,1989,517,238062,4.13%
2021,Rotherham,E08000018,215573,6258,1613,341,207361,2.90%
2021,Sheffield,E08000019,456250,9258,3320,515,443157,2.03%
2021,Newcastle upon Tyne,E08000021,248450,5465,2723,446,239816,2.20%
