date,geography,geography code,UK armed forces veteran indicator: Total: All usual residents,UK armed forces veteran indicator: Previously served in UK armed forces,UK armed forces veteran indicator: Previously served in UK reserve armed forces,UK armed forces veteran indicator: Previously served in both regular and reserve UK armed forces,UK armed forces veteran indicator: Has not previously served in any UK armed forces
2021,Hartlepool,E06000001,74686,3031,654,159,70842
2021,Middlesbrough,E06000002,113937,3448,975,201,109313
2021,Redcar and Cleveland,E06000003,112342,5506,1198,288,105350
2021,Stockton-on-Tees,E06000004,158010,6344,1587,306,149773
2021,Darlington,E06000005,88106,4324,808,255,82719
2021,Halton,E06000006,103948,3630,1136,243,98939
2021,Warrington,E06000007,172720,5104,1497,276,165843
2021,Blackburn with Darwen,E06000008,119508,2714,690,121,115983
2021,Blackpool,E06000009,116339,4861,900,220,110358
2021,"Kingston upon Hull, City of",E06000010,213877,7347,2189,543,203798
2021,East Riding of Yorkshire,E06000011,288139,13936,3014,782,270407
2021,North East Lincolnshire,E06000012,127521,5812,953,269,120487
2021,North Lincolnshire,E06000013,139467,6281,1044,326,131816
2021,York,E06000014,172084,5661,1398,325,164700
2021,Derby,E06000015,209190,5156,1407,307,202320
2021,Leicester,E06000016,291015,3268,1165,197,286385
2021,Rutland,E06000017,34298,2015,283,83,31917
2021,Nottingham,E06000018,264319,4670,1769,312,257568
2021,"Herefordshire, County of",E06000019,157132,7514,1631,496,147491
2021,Telford and Wrekin,E06000020,148674,6285,1415,366,140608
2021,Stoke-on-Trent,E06000021,205900,5743,1429,288,198440
2021,Bath and North East Somerset,E06000022,161618,4341,1274,243,155760
2021,"Bristol, City of",E06000023,389707,6450,2623,418,380216
2021,North Somerset,E06000024,178567,7426,1593,424,169124
2021,South Gloucestershire,E06000025,237366,6970,2124,404,227868
2021,Plymouth,E06000026,218624,15507,2143,629,200345
2021,Torbay,E06000027,117031,5636,1054,246,110095
2021,Swindon,E06000030,187151,7729,1377,398,177647
2021,Peterborough,E06000031,167573,5387,1057,249,160880
2021,Luton,E06000032,172698,2220,765,126,169587
2021,Southend-on-Sea,E06000033,146410,3554,1043,184,141629
